title,application_id,participant_id,breweries_completed,trail_name,trail_year,trail_season,mini_tour,master_id,location_to_complete
89,6579242eead78557cb091332,584183093266,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,118,10
90,65792452f16c8436d7c04161,584187287634,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,112,10
91,65792537d7a0d8a5731e082d,584188205377,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,113,10
92,6579254d2bc6f4b4ec3857b2,584188860747,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,115,10
93,65792563df0f680580f82bdd,584189843832,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
94,657925891cf5e5e826b37cc0,584185780538,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
95,6579259fed06c2d565fc0f9a,584186435884,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,119,10
96,657925c24356a3fe4b9d09a6,584199215336,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,121,10
97,657925e9f9bc4a621265383f,584194889902,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
98,65792600f9bc4a6212653841,584187418973,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
99,657932df61f123f055f39bac,584189909371,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,122,10
100,657932f551947618e4798c16,584185715003,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,123,10
101,6579369dad675aa2c9488836,584186370349,1,Backwards Distilling Company ,2023,Winter,12 Days of Christmas Cocktails,,10
